rrconkle@lemmy.zip,66,21,32,29,57,5,0,0,19,5,0,34,137,185,0,4,2,0,0,19,433,253,87,30,19,57,17,47,9,17,0,0
Bigcheese@lemmy.world,70,35,64,59,109,22,0,0,6,152,1,30,14,3,0,15,2,36,0,1,106,33,29,70,15,9,23,63,46,11,1,0
grant@toast.ooo,375,29,15,30,21,21,0,0,0,0,46,0,23,6,93,7,162,0,0,3,25,16,26,0,0,0,0,0,36,14,12,0
IllinoisMapper@lemmy.world,803,0,0,137,162,32,0,0,2,0,0,38,50,2,46,55,0,2,0,0,0,5,95,0,4,32,0,10,0,101,0,0
Coaster@lemmy.world,0,6,0,0,0,3,0,0,0,0,0,25,9,10,1,8,14,0,0,10,57,35,1,7,6,0,0,27,0,16,0,0
willowsdsrising@lemmy.world,3,5,5,7,5,2,0,0,0,0,0,9,3,3,0,0,0,0,4,10,3,3,1,5,37,31,10,29,9,1,1,21
drbluefall@toast.ooo,130,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,167,30,0,0,0,0,0,0,7,0,0
ShadowGlider@lemmy.world,335,215,24,92,280,118,3,9,3,102,48,122,201,102,21,12,51,57,81,132,297,285,103,37,297,207,17,561,56,42,24,15
sugar@toast.ooo,429,2,14,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,1,64,12,0
glim@lemmy.world,21,0,1,0,0,7,0,0,2,1,0,0,1,4,0,0,0,0,0,0,34,0,6,7,135,113,1,91,0,0,0,0
Firebolt117@lemmy.world,94,111,64,73,31,311,14,5,15,142,28,23,42,81,5,45,7,26,8,18,23,42,23,22,13,16,8,85,38,77,34,46
Polobu@lemmy.world,34,9,0,0,6,23,5,6,2,0,0,3,26,49,0,1,0,25,52,0,18,57,12,6,68,11,38,56,14,7,3,1
uis@lemmy.world,302,15,0,12,51,18,0,0,0,0,1,7,16,3,0,0,0,9,7,1,14,28,3,0,97,59,1,135,61,16,1,0
Lokloy@lemmy.world,316,337,168,166,233,100,15,21,56,97,71,77,78,27,43,84,15,78,89,116,154,99,232,159,231,171,14,93,90,109,89,29
guantousam@lemmy.world,144,454,56,121,90,17,7,33,103,86,13,96,92,103,77,51,53,75,65,161,251,77,339,517,179,182,114,348,79,100,74,37
Cevedale@feddit.de,49,0,11,2,0,1,0,0,0,0,0,4,57,0,0,0,3,0,0,0,0,0,8,0,0,0,0,14,9,331,0,21
baked_horse@lemmy.world,10,41,17,23,36,17,0,0,1,8,0,21,14,0,0,0,0,33,5,21,9,53,13,27,23,21,4,75,81,14,6,0
Themisto@lemmy.world,119,87,75,35,88,65,25,1,7,7,24,78,116,55,14,157,40,54,31,77,214,115,186,92,147,151,63,159,106,58,12,5
Dynoscord@lemmy.world,174,43,30,9,34,99,7,5,19,6,7,33,56,73,0,4,1,13,27,2,110,32,42,95,25,71,8,31,5,70,10,7
RayNheartZ@lemmy.world,0,0,0,0,2,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,18,4,0,0,0,0,7,9,0,4,0,0
Waffle6787@lemmy.world,143,588,93,108,7,148,0,8,53,35,5,28,34,91,2,7,1,20,14,11,16,22,39,6,105,86,34,183,122,30,8,0
PaigePalisade@lemmy.blahaj.zone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,5,0,0,0,0
ThatSnek@lemmy.world,68,184,25,90,39,37,1,3,0,5,1,14,25,56,5,23,7,1,19,41,43,59,48,29,36,136,22,214,42,47,31,15
dekatron@lemmy.fmhy.net,20,0,0,0,1,1,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,17,0,0
Yomama@lemmy.world,176,3,0,8,0,19,0,4,2,6,1,3,2,7,47,35,0,92,80,94,13,53,137,321,4,43,0,16,4,3,4,0
sami@lemmy.zip,3,0,1,0,0,42,0,5,0,0,0,122,0,0,0,0,64,0,0,5,0,1,34,0,0,0,0,0,0,48,16,20
BatPonyEEE@lemmy.world,122,50,29,92,18,46,0,38,46,15,3,30,235,27,8,14,35,22,0,7,65,29,29,33,5,25,8,163,42,28,3,1
PixeIOrange@lemmy.world,0,0,0,0,1,10,0,5,10,2,32,16,79,5,10,103,68,69,0,14,62,68,209,17,37,41,39,0,15,66,14,2
kersploosh@sh.itjust.works,176,1,0,0,0,38,0,0,0,0,0,0,12,3,0,14,0,0,0,0,0,29,0,24,0,0,0,0,3,0,0,0
