tanker405th@lemmy.world,6,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,8,0,0,0,0,0,0,0,0,0
KoboldCoterie@pawb.social,876,45,48,32,59,17,12,16,52,41,64,4,0,8,0,22,333,15,0,0,0,0,21,1,20,0,0,42,26,216,28,29
basxto@discuss.tchncs.de,800,12,0,12,3,41,0,4,41,12,4,73,60,23,193,16,19,51,0,12,19,0,126,1,10,18,99,186,61,53,19,20
Enderson1320@lemmy.world,391,57,61,39,8,54,1,8,7,3,1,41,56,38,0,23,0,23,15,22,44,51,231,346,94,130,5,120,44,55,12,2
Lumun@lemmy.zip,172,108,102,327,76,27,58,141,19,68,19,330,33,6,11,4,13,11,4,5,4,9,30,15,47,10,7,19,10,235,19,12
NoNotLikeThat@lemm.ee,66,19,39,26,14,34,14,58,76,141,73,120,65,39,4,16,65,79,24,8,28,181,193,225,56,49,10,32,10,41,33,112
Rose@lemmy.world,1467,27,4,2,0,183,0,0,9,3,5,0,87,0,4,0,0,74,0,0,0,4,1,0,0,0,0,93,12,18,8,7
lnxtx@feddit.nl,1,0,0,90,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1788,0,0,0,0,0,0,0,0,0
flora_explora@beehaw.org,112,7,0,0,24,111,5,35,0,0,55,48,20,54,2,1,29,1,252,232,42,121,59,37,118,83,46,265,66,105,64,12
Rogue1633@discuss.tchncs.de,505,0,0,7,4,33,0,0,0,58,72,0,655,0,0,0,0,0,0,0,0,22,12,12,82,0,0,0,0,424,0,0
usernamesaretricky@lemmy.ml,1496,91,62,65,70,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zer0@feddit.de,850,1,1,0,0,3,0,0,0,0,111,10,277,0,0,4,0,0,0,0,1,11,243,0,0,1,0,0,0,349,5,0
Ihnivid@feddit.de,485,29,16,11,38,45,0,8,62,0,3,176,90,140,3,5,4,2,156,87,34,52,45,9,64,41,0,3,13,79,191,0
KAP2003@lemmy.world,53,2,7,1,2,57,0,3,0,3,1,0,5,0,9,1,11,2,0,0,269,62,1325,5,44,0,0,1,0,1,8,0
beansbeansbeans@lemmy.world,33,5,30,33,28,7,6,66,116,142,52,161,82,23,2,8,24,79,29,6,23,220,79,291,45,24,15,15,9,45,32,97
Fabulous@lemmy.world,813,1,2,0,1,34,0,0,0,0,89,47,101,0,0,35,71,0,0,0,0,28,126,0,60,73,1,35,0,308,0,5
Fabulous@infosec.pub,829,5,38,32,15,30,2,0,0,0,88,48,117,0,1,57,5,0,0,2,67,49,87,0,50,68,0,46,7,170,0,8
FeatherFoot@lemmy.world,78,30,15,17,46,43,12,8,4,109,30,40,57,71,3,20,5,193,120,40,118,31,15,240,149,69,11,122,11,17,25,7
marius851000@lemmy.mariusdavid.fr,70,265,9,54,98,100,7,21,16,25,19,36,46,14,0,13,50,11,75,33,34,88,195,64,72,39,10,103,77,74,26,2
blueether@no.lastname.nz,533,0,10,12,116,55,0,5,51,150,0,0,0,0,4,1,11,27,0,0,0,0,0,661,0,0,0,0,0,102,0,0
lnm225@sh.itjust.works,73,64,72,71,66,33,0,0,0,0,391,158,122,98,7,37,40,9,11,13,0,41,98,0,129,14,11,24,8,152,7,6
